Question Topic;Keep;Comment;Area / Subarea;Page - Module;Variablename;Labels;German Question;English Question;Values
Device Type;TRUE;;Meta;Welcome - StartApp;conjoint_app.1.player.device_type;Auto;- ;- ;"1 = Tablet; 2 = Mobile; 3 = else"
Operating System;TRUE;;Meta;Welcome - StartApp;conjoint_app.1.player.operating_system;Auto;-;-;"1 = Windows; 2 = Mac; 3 = Linux; 4 = Android; 5 = like Mac; -999 = else"
Browser;TRUE;;Meta;Welcome - StartApp;conjoint_app.1.player.browser;Auto;- ;-;"1 = Chrome; 2 = Firefox; 3 = Safari; 4 = Opera; 5 = Edge; -999 = else"
Language;TRUE;;Meta;Welcome - StartApp;conjoint_app.1.player.lang;Selection;"""Bitte wählen Sie Ihre präferierte Sprache aus.""";"""Please select your preferred language for the survey.""";"0 = Deutsch; 1 = English"
Device Type;TRUE;;Meta;Welcome - StartApp;conjoint_app.1.player.use_of_device;Selection;“Was für ein Gerät nutzen Sie, um diese Befragung durchzuführen?”;“What kind of device do you use to conduct this survey?”;"1 = Laptop; 2 = Tablet; 3 = Smartphone"
Start Time;TRUE;;Meta;Welcome - StartApp;conjoint_app.1.player.time_start;Auto;-;-;-
Participant Code;FALSE;Not needed when using rooms;Meta;Welcome - StartApp;network_app.1.player.participantcode;Field;"""Bitte tragen Sie nun Ihren eigenen Umfragecode in das Textfeld ein. Ihr Umfragecode besteht aus drei Buchstaben und Zahlen. Auf der folgenden Seite können Sie die Umfrage Codes von Ihrem sozialen Netzwerk angeben.""";"""Please enter your own survey code (composed of three letters and numbers). On the following page, you can enter the survey codes of your social network:""";
Random Number & Code Check;EDIT;Combined Code and Rnumber to improve memorization of code between waves ;Meta;RandomNumber - EndApp;end_app.1.player.rnumbercheck;Field;"""Bitte geben Sie zur Beschäftigung den Code, den Sie gerade erhalten haben, in das Textfeld ein.""";"""Please enter your monthly disposable income in euros (€).""";
;;;;;;;;;
Age;TRUE;;Demography / Personal;GenderAge - DemographicApp;demographic_app.1.player.age;Field;“Bitte geben Sie Ihr Alter in Jahren an.”;“Please enter your age in years.”;min 10, max 100
Gender;TRUE;;Demography / Personal;GenderAge - DemographicApp;demographic_app.1.player.gender;Selection;“Bitte geben Sie Ihr Geschlecht an.”;“Please enter your gender.”;"1 = female; 2 = male; 3 = diverse; 4 = no answer"
Residency Secondary Education;EDIT;;Demography / Personal;Postcode - DemographicApp;demographic_app.1.player.postcode;Field;"""Wie lauten die ersten beiden Ziffern der Postleitzahl des Wohnortes, an dem Sie wohnhaft waren, während Sie Ihr Abitur gemacht haben? Falls Sie im Ausland gewohnt haben, geben Sie bitte ""00"" an.""";"""What are the first two digits of the postcode of your place of residence at the time when you completed high school? If you lived outside of Germany, please type in ""00"".""";
School Father;FALSE;Removing because of unpromising results ;Demography;LevelFamily - DemographicApp;demographic_app.1.player.school_father;Selection;"""Bitte geben Sie den höchsten Schulabschluss an, den Ihr Vater erreicht hat.""";"""Please select the highest school education level reached by your father.""";"0 = School Graduation without Degree; 1 = Primary School Graduation with Degree; 2 = Secondary School Graduation; 3 = Higher School without Graduation; 4 = High School Graduation; 5 = Other Degree; -999 = No answer"
